,links
368,cleisthenes
369,athenian democracy
370,herodotus
371,histories
372,aeschylus
373,the suppliants
374,isonomia
375,random selection
376,contradictory
377,boule
378,range voting
379,sparta
380,spartan ecclesia
381,aristotle
382,roman republic
383,weighted voting
384,senate
385,overthrow of the roman kingdom
386,republic
387,vaishali
388,vajjika league
389,mahajanapada
390,india
391,republic
392,iroquois
393,europe
394,middle ages
395,clergy
396,feudal lords
397,scandinavia
398,things
399,lawspeaker
400,althing
401,iceland
402,løgting
403,faeroe islands
404,veche
405,eastern europe
406,roman catholic church
407,pope
408,papal conclave
409,cortes of león
410,alfonso ix
411,republic of ragusa
412,dubrovnik
413,republic of florence
414,signoria
415,sortition
416,frisia
417,kouroukan fouga
418,mali empire
419,constitutional monarchy
420,democratic republic
421,
422,magna carta
423,parliament of england
424,magna carta
425,habeas corpus
426,england
427,simon de montfort's parliament
428,petitioning
429,david stasavage
430,poland
431,noble democracy
432,nobility
433,sejmik
434,casimir iv jagiellon
435,nieszawa statutes
436,
437,john locke
438,thomas hobbes
439,social contract theory
440,natural rights
441,right to private property
442,consent of the governed
443,liberal democracies
444,renewed interest in magna carta
445,petition of right
446,english civil war
447,putney debates
448,the protectorate
449,english restoration
450,habeas corpus act
451,glorious revolution
452,bill of rights
453,royal absolutism
454,douglass north
455,barry weingast
456,political philosophy
457,thomas hobbes
458,social contract theory
459,leviathan
460,state of nature
461,war of all against all
462,john locke
463,two treatises of government
464,legitimate
465,consent of the governed
466,right to revolt
467,liberal
468,american revolution
469,french revolution
470,cossack hetmanate
471,zaporizhian sich
472,hetman
473,"jamestown, virginia"
474,house of burgesses
475,virginia general assembly
476,puritans
477,pilgrim fathers
478,baptists
479,quakers
480,
481,athena
482,athens
483,austrian parliament building
484,first parliament of great britain
485,kingdom of england
486,kingdom of scotland
487,acts of union
488,uk's uncodified constitution
489,"declaration of right, 1689"
490,claim of right 1689
491,african
492,ignatius sancho
493,age of liberty
494,civil rights
495,corsican republic
496,constitution
497,corsican constitution
498,enlightenment
499,female suffrage
500,colonial america
501,vermont
502,united states constitution
503,codified constitution
504,slavery
505,voting rights in the united states
506,presidential election in 1789
507,naturalization act of 1790
508,bill of rights
509,revolutionary france
510,declaration of the rights of man and of the citizen
511,national convention
512,polish-lithuanian constitution
513,constitutional monarchy
514,serfdom
515,grodno sejm
516,
517,universal male suffrage
518,1828 presidential election
519,1840 presidential election
520,1860 united states census
521,reconstruction
522,13th amendment
523,14th amendment
524,15th amendment
525,civil rights movement
526,voting rights act of 1965
527,series of reforms
528,reform act 1832
529,representation of the people act 1918
530,equal franchise act 1928
531,universal male suffrage
532,france
533,french revolution of 1848
534,revolutions broke out in europe
535,absolute monarchy
536,parliament
537,bicameral
538,senate
539,the sultan
540,chamber of deputies
541,turkish
542,new zealand
543,universal suffrage
544,
545,polity iv
546,waves of democracy
547,decolonisation
548,world war i
549,ottoman
550,austro-hungarian
551,women's suffrage
552,great depression
553,fascism
554,nazi germany
555,italy
556,spain
557,portugal
558,baltics
559,balkans
560,brazil
561,cuba
562,china
563,japan
564,world war ii
565,democratisation
566,"american, british, and french sectors of occupied germany"
567,occupied japan
568,government change
569,eastern europe
570,soviet sector of germany
571,soviet-dominated bloc
572,decolonisation
573,india
574,british empire
575,westminster system
576,"""communist"" states"
577,democratisation
578,east
579,south asia
580,collapse of the soviet union
581,cold war
582,liberalisation
583,eastern bloc
584,european union
585,candidate states
586,philippines
587,corazon aquino
588,
589,corazon aquino
590,indonesian revolution of 1998
591,bulldozer revolution
592,yugoslavia
593,rose revolution
594,georgia
595,orange revolution
596,cedar revolution
597,tulip revolution
598,kyrgyzstan
599,jasmine revolution
600,tunisia
601,
602,freedom house
603,united nations
604,international day of democracy
605,
606,parliament of finland
607,voting age
608,failed verification
609,populist
610,nationalist
611,law and justice party
612,rodrigo duterte
613,the christian science monitor
614,nationalist
615,populist
616,rule of law
617,appointed 27 new supreme court judges
618,european commission
619,failed coup attempt
620,government crackdown
621,
622,democratic backsliding
623,covid-19 pandemic
624,aristotle
625,timocracy
626,oligarchy
627,aristocracy
628,tyranny
629,autocracy
630,absolute monarchy
631,republican
632,montesquieu
633,rousseau
634,deliberative democracy
635,radical democracy
636,voting
637,joseph schumpeter
638,william h. riker
639,adam przeworski
640,richard posner
641,direct democracy
642,close to the views of the median voter
643,anthony downs
644,robert a. dahl
645,polyarchy
646,elections
647,ronald dworkin
648,deliberative democracy
649,deliberation
650,consensus
651,citizens assemblies
652,oecd
653,radical democracy
654,democracy indices
655,
656,the economist democracy index
657,hybrid regimes
658,authoritarian regimes
659,democracy indices
660,quantitative
661,comparative
662,hybrid regimes
663,autocracies
664,causal
665,inclusiveness
666,polyarchy
667,co-option
668,electoral system manipulation
669,electoral fraud
670,democracy indices § difficulties in measuring democracy
671,econometrically
672,accountability
673,judicial independence
674,electoral system
675,types of democracy
676,separation of powers
677,
678,form of government
679,presidential republics
680,semi-presidential republics
681,dependent on the legislature
682,parliamentary republics
683,parliamentary
684,constitutional monarchies
685,absolute monarchies
686,one-party states
687,military dictatorships
688,list of countries by system of government
689,de jure
690,de facto
691,direct democracy
692,representative democracy
693,direct democracy
694,
695,landsgemeinde
696,canton of glarus
697,
698,switzerland
699,ballot papers
700,direct democracy
701,berne
702,initiatives
703,referendums
704,recall elections
705,swiss
706,cantons
707,appenzell innerrhoden
708,glarus
709,rebel zapatista autonomous municipalities
710,cipo-rfm
711,bolivian
712,fejuve
713,rojava
714,athenian democracy
715,representative democracy
716,democratically elected
717,republic
718,plurality
719,constituency
720,proportional
721,referendums
722,parliamentary system
723,loyal opposition
724,presidential system
725,separation of powers
726,semi-presidential system
727,hybrid regime
728,u.s. states
729,referendums
730,initiatives
731,swiss confederation
732,federal popular initiative
733,referendum
734,parliament
735,referendums
736,california
737,new england
738,town meetings
739,direct democracy
740,vermont
741,constitutional monarchy
742,
743,charles iii
744,united kingdom
745,spain
746,netherlands
747,belgium
748,scandinavian countries
749,thailand
750,japan
751,bhutan
752,glorious revolution
753,bill of rights 1689
754,crowned republics
755,h. g. wells
756,france
757,china
758,russia
759,germany
760,austria
761,hungary
762,italy
763,greece
764,egypt
765,house of lords
766,australian senate
767,republicanism
768,republic
769,head of state
770,president
771,monarch
772,head of government
773,prime minister
774,founding fathers of the united states
775,direct democracy
776,james madison
777,the federalist no. 10
778,willamette university
779,rhodes college
780,john adams
781,elizabeth willing powel
782,liberal democracy
783,rule of law
784,civil liberties
785,emerge
786,democracy in marxism
787,socialist
788,social democracy
789,democratic socialism
790,dictatorship of the proletariat
791,soviet democracy
792,participatory
793,industrial
794,economic
795,workplace democracy
796,representative democracy
797,marxist orthodoxy
798,marxists
799,leninists
800,trotskyists
801,soviets
802,che guevara
803,anarchists
804,majority-rule is tyrannic or not
805,pierre-joseph proudhon
806,anarcho-communist
807,murray bookchin
808,individualist anarchists
809,consensus democracy
810,sortition
811,sortition
812,athenian democracy
813,renaissance florence
814,jury selection
815,consociational democracy
816,arend lijphart
817,consociationalism
818,qualified majority voting
819,european council of ministers
820,treaty of rome
821,consensus democracy
822,consensus democracy
823,consensus democracy
824,consensus decision-making
825,majoritarian democracy
826,national unity government
827,political spectrum
828,concordance democracy
829,popular initiatives
830,inclusive democracy
831,direct democracy
832,economic democracy
833,stateless
834,self-management
835,takis fotopoulos
836,democracy & nature
837,participatory politics
838,parpolity
839,nested council
840,tyranny of the majority
841,participatory economy
842,cosmopolitan democracy
843,international organisations
844,united nations
845,world parliament
846,george monbiot
847,david held
848,daniele archibugi
849,international criminal court
850,creative democracy
851,john dewey
852,moral ideal
853,guided democracy
854,non-governmental organisations
855,trade unions
856,cooperatives
857,corporations
858,shareholders
859,shareholder democracy
860,workplace democracy
861,amitai etzioni
862,sharia law
863,democratic educational
864,sudbury schools
865,shareholder democracy
866,"one share, one vote"
867,board of directors
868,executives
869,classes of stock
870,social contract theory
871,legitimacy of government
872,consent of the governed
873,general will
874,jean-jacques rousseau
875,direct democracy
876,condorcet's jury theorem
877,the wisdom of the crowd
878,why nations fail
879,daron acemoglu
880,james a. robinson
881,monopolies
882,creative destruction
883,economic growth
884,democracy promotion
885,
886,democracy promotion
887,
888,peacekeeping
889,african union
890,pearson centre
891,bamako
892,democracy promotion
893,system of government
894,less likely to go to war
895,institutions
896,courts of law
897,police forces
898,constitutions
899,united states
900,military intervention
901,revolutions of 1989
902,iron curtain
903,democratic transitions
904,communist states
905,freedom house
906,democratic deficit
907,aid
908,cold war
909,political apathy
910,voting advice applications
911,participatory democracy
912,youth suffrage
913,barriers to entry
914,proportionality
915,presidentialism
916,democratic transition
917,
918,number of countries autocratizing
919,democratizing
920,political system
921,authoritarian
922,democratization
923,democratic transition
924,political regime
925,democratization
926,ronald inglehart
927,self-expression values
928,democracy causes peace
929,carroll quigley
930,education
931,human capital
932,cognitive ability
933,need quotation to verify
934,modernisation theory
935,tsetse fly
936,autocracies
937,trade
938,quantify
939,democratic revolution
940,democratic backsliding by country
941,regime change
942,autocracy
943,repressive
944,public contestation
945,political participation
946,peaceful transition of power
947,free and fair elections
948,freedom of expression
949,democratization
950,state collapse
951,regime change
952,list of coups and coup attempts by country
953,list of civil wars
954,spanish civil war
955,coup of 18 brumaire
956,first french republic
957,28 may 1926 coup d'état
958,first portuguese republic
959,1954 guatemalan coup d'état
960,1953 iranian coup d'état
961,invasion
962,german occupation of czechoslovakia
963,south vietnam
964,self-coup
965,1992 peruvian coup d'état
966,election fraud
967,1999 ukrainian presidential election
968,2003 russian legislative election
969,2004 russian presidential election
970,6 january dictatorship
971,alexander i of yugoslavia
972,democratic backsliding
973,national security
974,free and fair elections
975,freedom of expression
976,independence of the judiciary
977,rule of law
978,enabling act of 1933
979,weimar germany
980,nazi germany
981,political violence
982,free and fair elections
983,wilmington insurrection of 1898
984,disfranchisement after the reconstruction era
985,criticism of democracy
986,arrow's impossibility theorem
987,kenneth arrow
988,multi-winner voting
989,proportional representation
990,china
991,one-party
992,communist state
993,india
994,multi-party
995,socrates
996,populism
997,plato
998,the republic
999,socrates
1000,5 forms of government
1001,xi jinping
1002,general secretary of the chinese communist party
1003,joe biden
1004,u.s. president
1005,voter turnout
1006,political efficacy
1007,political apathy
1008,vilfredo pareto
1009,gaetano mosca
1010,louis brandeis
1011,wealth
1012,clarification needed
1013,james madison
1014,federalist no. 10
1015,republic
1016,tyranny of the majority
1017,federalist no. 10
1018,thomas jefferson
1019,mediatization (media)
1020,social issues
1021,news media
1022,jay blumler
1023,agenda setting
1024,market forces
1025,tabloidization
1026,horse races
1027,spin
1028,cynical
1029,civic engagement
1030,structural causes
1031,terrorism
1032,surveillance
1033,civil rights
1034,accountability
1035,dumbing down
1036,populism
1037,political polarization
1038,social media
1039,echo chambers
1040,civil rights
1041,free speech
1042,autocracy
1043,public service
1044,world bank
1045,developing countries
1046,horse race journalism
1047,journalistic norms
1048,impartiality
1049,deregulation
1050,internet
1051,social media
1052,filters
1053,social movements
1054,protest movements
1055,emerging democracies
1056,censorship
1057,viral
1058,conspiracy theories
1059,censorship
1060,propaganda
1061,misinformation
1062,consent of the governed
1063,democratic deficit
1064,democracy in chola dynasty
1065,democratic peace theory
1066,democratic socialism
1067,economic democracy
1068,empowered democracy
1069,energy democracy
1070,foucault–habermas debate
1071,good governance
1072,horseshoe theory
1073,
1074,politics portal
1075,industrial democracy
1076,mathematical theory of democracy
1077,meritocracy
1078,parliament in the making
1079,power to the people
1080,territorial peace theory
1081,the establishment
1082,spatial citizenship
1083,statism
1084,workplace democracy
1085,fourteenth amendment to the united states constitution
1086,house of representatives
1087,three-fifths compromise
1088,voting rights act of 1965
1089,harper v. virginia board of elections
1090,equal protection clause
1091,portugal in 1974
1092,spain in 1975
1093,argentina in 1983
1094,bolivia
1095,uruguay in 1984
1096,brazil in 1985
1097,chile in the early 1990s
1098,doi
1099,isbn
1100,978-3-030-39690-9
1101,s2cid
1102,oxford english dictionary
1103,isbn
1104,978-0-85229-135-1
1105,isbn
1106,978-0-415-97334-2
1107,doi
1108,issn
1109,pmc
1110,pmid
1111,the economist
1112,economist group
1113,the economist
1114," annan, kofi"
1115,council of europe
1116,doi
1117,issn
1118,s2cid
1119,"plant, raymond"
1120,isbn
1121,978-1135191474
1122,isbn
1123,978-0-262-54147-3
1124,isbn
1125,978-0-8166-3388-3
1126,scandinavian political studies
1127,doi
1128,wayback machine
1129,isbn
1130,978-0-8018-8287-6
1131,"scruton, roger"
1132,bbc news
1133,bbc
1134,isbn
1135,978-1-139-99138-4
1136,the new indian express
1137,isbn
1138,978-0-691-12017-1
1139,doi
1140,jstor
1141,s2cid
1142,"nussbaum, martha"
1143,isbn
1144,978-0-521-00385-8
1145,isbn
1146,978-0-8018-8475-7
1147,r. r. palmer
1148,isbn
1149,978-0-226-22482-4
1150,isbn
1151,978-0-691-13830-5
1152,doi
1153,isbn
1154,978-0-19-022863-7
1155,isbn
1156,978-0-19-827934-1
1157,page needed
1158,luciano canfora
1159,issn
1160,jstor
1161,isbn
1162,978-1-4008-6083-8
1163,isbn
1164,978-1-4008-2591-2
1165,isbn
1166,978-90-04-05971-9
1167,lonely planet
1168,isbn
1169,978-1-74104-308-2
1170,isbn
1171,978-0-85229-760-5
1172,isbn
1173,978-0-415-32919-4
1174,doi
1175,issn
1176,s2cid
1177,isbn
1178,978-0-8156-0083-1
1179,oclc
1180,isbn
1181,978-0-300-23332-2
1182,isbn
1183,978-1-317-74224-1
1184,doi
1185,isbn
1186,978-1-5128-1957-1
1187,jstor
1188,isbn
1189,978-1-84725-226-5
1190,doi
1191,issn
1192,s2cid
1193,doi
1194,doi
1195,issn
1196,doi
1197,issn
1198,s2cid
1199,isbn
1200,978-1-108-33399-3
1201,doi
1202,issn
1203,s2cid
1204,"locke, john"
1205,isbn
1206,978-0-521-35448-6
1207,doi
1208,issn
1209,jstor
1210,"tocqueville, alexis de"
1211,democracy in america
1212,isbn
1213,978-0-7607-5230-2
1214,allen weinstein
1215,isbn
1216,978-0-7894-8903-6
1217,united states
1218,wayback machine
1219,"deacy, susan"
1220,isbn
1221,978-0-415-30066-7
1222,isbn
1223,978-0-8386-3225-3
1224,isbn
1225,978-0-313-23091-2
1226,doi
1227,s2cid
1228,doi
1229,s2cid
1230,isbn
1231,978-1-57356-148-8
1232,norman davies
1233,isbn
1234,978-83-945455-0-5
1235,isbn
1236,978-1-317-45536-3
1237,wayback machine
1238,"nohlen, dieter"
1239,isbn
1240,978-90-04-15174-1
1241,doi
1242,s2cid
1243,issn
1244,wayback machine
1245,doi
1246,doi
1247,issn
1248,s2cid
1249,university of gothenburg
1250,isbn
1251,978-1-250-24442-0
1252,oclc
1253,the washington post
1254,doi
1255,isbn
1256,978-1-108-95780-9
1257,s2cid
1258,doi
1259,issn
1260,s2cid
1261,isbn
1262,978-0-691-13830-5
1263,bibcode
1264,doi
1265,joseph schumpeter
1266,isbn
1267,978-0-06-133008-7
1268,anthony downs
1269,isbn
1270,978-0-06-041750-5
1271,"dahl, robert"
1272,isbn
1273,978-0-300-04938-1
1274,isbn
1275,978-0-691-13872-5
1276,isbn
1277,978-0-691-12019-5
1278,doi
1279,issn
1280,s2cid
1281,isbn
1282,978-0-521-51477-4
1283,doi
1284,issn
1285,jstor
1286,s2cid
1287,isbn
1288,978-1-317-34529-9
1289,isbn
1290,978-1-135-93226-8
1291,doi
1292,s2cid
1293,isbn
1294,978-0-7619-6787-3
1295,isbn
1296,978-0-691-12017-1
1297,isbn
1298,978-0-691-12017-1
1299,isbn
1300,978-1-4191-4316-8
1301,isbn
1302,978-0-415-19396-2
1303,isbn
1304,978-2-606-01295-3
1305,s2cid
1306,"black, jeremy"
1307,"bath, somerset"
1308,isbn
1309,0-75258-227-5
1310,isbn
1311,978-3-8204-8843-2
1312,isbn
1313,978-0-226-84279-0
1314,scandinavian political studies
1315,doi
1316,s2cid
1317,charles scribner's sons
1318,doi
1319,isbn
1320,978-1-137-31470-3
1321,avalon project
1322,the washington post
1323,"graham, robert"
1324,doi
1325,jstor
1326,s2cid
1327,doi
1328,s2cid
1329,russia
1330,isbn
1331,978-1-135-92468-3
1332,doi
1333,hdl
1334,s2cid
1335,international institute for democracy and electoral assistance
1336,hoover digest
1337,doi
1338,s2cid
1339,overseas development institute
1340,wayback machine
1341,wayback machine
1342,doi
1343,issn
1344,doi
1345,s2cid
1346,jstor
1347,doi
1348,hdl
1349,s2cid
1350,isbn
1351,978-1-315-19692-3
1352,oclc
1353,doi
1354,isbn
1355,978-3-319-74336-3
1356,s2cid
1357,doi
1358,isbn
1359,978-0-08-043076-8
1360,doi
1361,isbn
1362,978-3-319-74336-3
1363,s2cid
1364,humanities and social sciences communications
1365,doi
1366,doi
1367,jstor
1368,s2cid
1369,doi
1370,isbn
1371,978-1-108-61388-0
1372,doi
1373,s2cid
1374,wayback machine
1375,isbn
1376,978-0-8191-2947-5
1377,isbn
1378,978-0-8191-2947-5
1379,doi
1380,doi
1381,hdl
1382,pmid
1383,s2cid
1384,doi
1385,doi
1386,s2cid
1387,doi
1388,issn
1389,"acemoglu, daron"
1390,isbn
1391,978-0-521-85526-6
1392,citeseerx
1393,doi
1394,doi
1395,isbn
1396,978-0-444-52041-8
1397,doi
1398,isbn
1399,978-0-444-52041-8
1400,crowell-collier
1401,transaction publishers
1402,isbn
1403,978-1-4128-3116-1
1404,doi
1405,s2cid
1406,"mudde, cas"
1407,"kaltwasser, cristóbal rovira"
1408,isbn
1409,978-0-19-023487-4
1410,doi
1411,s2cid
1412,doi
1413,s2cid
1414,international journal of constitutional law
1415,doi
1416,doi
1417,s2cid
1418,science
1419,bibcode
1420,doi
1421,pmid
1422,s2cid
1423,doi
1424,s2cid
1425,doi
1426,s2cid
1427,isbn
1428,978-3-030-03125-1
1429,doi
1430,doi
1431,issn
1432,s2cid
1433,isbn
1434,978-1-4426-0012-6
1435,edwin leland james
1436,isbn
1437,978-0-679-72465-0
1438,isbn
1439,978-0-670-08356-5
1440,karl raimund popper
1441,doi
1442,s2cid
1443,isbn
1444,978-0-19-828063-7
1445,oclc
1446,hdl
1447,doi
1448,isbn
1449,978-1-138-52143-8
1450,doi
1451,s2cid
1452,bibcode
1453,doi
1454,pmc
1455,pmid
1456,doi
1457,s2cid
1458,doi
1459,s2cid
1460,bibcode
1461,doi
1462,pmid
1463,s2cid
1464,doi
1465,pmc
1466,pmid
1467,isbn
1468,978-0-415-19396-2
1469,isbn
1470,978-0-8129-9356-1
1471,oclc
1472,cite book
1473,link
1474,isbn
1475,978-0-14-044809-2
1476,doi
1477,isbn
1478,978-0-691-01108-0
1479,isbn
1480,978-0-520-24562-4
1481,"archibugi, daniele"
1482,isbn
1483,978-0-691-13490-1
1484,isbn
1485,978-0-521-80066-2
1486,isbn
1487,978-0-691-04478-1
1488,isbn
1489,978-0-415-41463-0
1490,the future of democracy: a defense of the rules of the game
1491,isbn
1492,978-0-521-43254-2
1493,isbn
1494,978-1-58501-092-9
1495,isbn
1496,978-0-300-04938-1
1497,isbn
1498,978-0-300-08455-9
1499,isbn
1500,978-0-262-54147-3
1501,isbn
1502,978-0-226-13426-0
1503,isbn
1504,978-0-521-86490-9
1505,johns hopkins university press
1506,isbn
1507,978-0-8018-5304-3
1508,isbn
1509,978-0-8018-6863-4
1510,isbn
1511,978-0-8018-8287-6
1512,isbn
1513,978-0-8018-8080-3
1514,isbn
1515,978-0-8018-7847-3
1516,isbn
1517,978-0-521-59696-1
1518,isbn
1519,978-3-540-33163-6
1520,isbn
1521,978-3-642-20903-1
1522,"everdell, william r."
1523,isbn
1524,978-0-226-22482-4
1525,"fuller, roslyn"
1526,isbn
1527,978-1-78360-542-2
1528,isbn
1529,978-0-674-19766-4
1530,isbn
1531,978-0-691-12019-5
1532,isbn
1533,978-0-415-95052-7
1534,"henderson, g. c."
1535,"hansen, mogens herman"
1536,isbn
1537,978-0-631-18017-3
1538,isbn
1539,978-0-8047-5472-9
1540,isbn
1541,978-0-691-01180-6
1542,isbn
1543,978-0-230-24421-4
1544,isbn
1545,978-90-411-2003-8
1546,"köchler, hans"
1547,isbn
1548,978-3-8204-8843-2
1549,doi
1550,jstor
1551,s2cid
1552,isbn
1553,978-0-19-289106-8
1554,isbn
1555,978-0-393-30623-1
1556,isbn
1557,978-0-907845-64-5
1558,isbn
1559,978-1-84540-262-4
1560,isbn
1561,978-0-8018-6568-8
1562,isbn
1563,978-0-8018-6419-3
1564,"kennard, matt"
1565,isbn
1566,978-1350269989
1567,making democracy work
1568,isbn
1569,978-5-551-09103-5
1570,doi
1571,s2cid
1572,isbn
1573,978-0-7486-3499-6
1574,isbn
1575,978-1250179845
1576,isbn
1577,978-0-521-13173-5
1578,"tooze, adam"
1579,the new york review of books
1580,artificial intelligence
1581,robotics
1582,doi
1583,jstor
1584,s2cid
1585,isbn
1586,978-0-8018-7219-8
1587,isbn
1588,978-0-226-89845-2
1589,isbn
1590,978-0-521-47682-9
1591,isbn
1592,978-0-679-73688-2
1593,library resources
1594,stanford encyclopedia of philosophy
1595,our world in data
1596,max roser
1597,bbc radio 4
1598,v
1599,t
1600,e
1601,v
1602,t
1603,e
1604,politics
1605,government
1606,state
1607,nation
1608,empire
1609,central government
1610,unitary state
1611,federal government
1612,national unity government
1613,local government
1614,county government
1615,administrative division
1616,municipality
1617,township
1618,govt systems
1619,countries by system
1620,anarchy
1621,aristocracy
1622,bureaucracy
1623,capitalism
1624,confederation
1625,colonialism
1626,communism
1627,electocracy
1628,ergatocracy
1629,federalism
1630,feudalism
1631,geniocracy
1632,kleptocracy
1633,meritocracy
1634,military dictatorship
1635,monarchy
1636,oligarchy
1637,plutocracy
1638,republicanism
1639,socialism
1640,statism
1641,technocracy
1642,theocracy
1643,totalitarianism
1644,parliamentary system
1645,presidential system
1646,cellular 
1647,collaborative
1648,consensus
1649,conservative
1650,cosmopolitan
1651,direct democracy
1652,representative democracy
1653,republic
1654,agrarianism
1655,anarchism
1656,authoritarianism
1657,centrism
1658,christian democracy
1659,collectivism
1660,communalism
1661,communitarianism
1662,conservatism
1663,constitutionalism
1664,corporatism
1665,distributism
1666,egalitarianism
1667,environmentalism
1668,extremism
1669,familialism
1670,fanaticism
1671,fascism
1672,feminism
1673,fundamentalism
1674,liberalism
1675,progressivism
1676,john locke
1677,social insurance
1678,law enforcement
1679,unemployment benefits
1680,national healthcare
1681,public education
1682,military
1683,espionage
1684,environmental regulation
1685,banking regulation
1686,food inspection
1687,traffic lights
1688,sanitation
1689,street cleaning
1690,constitution
1691,charter
1692,uncodified constitution
1693,head of state
1694,head of government
1695,monarch
1696,president
1697,prime minister
1698,cabinet
1699,ministry
1700,judiciary
1701,legislature
1702,congress
1703,parliament
1704,council
1705,assembly
1706,legislative council
