,links
335,nietzsche
336,heidegger
337,foucault
338,derrida
339,merriam-webster.com dictionary
340,wayback machine
341,world health organization
342,doi
343,pmc
344,pmid
345,wayback machine
346,wayback machine
347,cite web
348,link
349,doi
350,isbn
351,978-0-674-06119-4
352,oclc
353,isbn
354,978-8022413411
355,isbn
356,978-8022413411
357,doi
358,pmid
359,s2cid
360,wayback machine
361,citeseerx
362,doi
363,pmid
364,s2cid
365,doi
366,pmid
367,s2cid
368,doi
369,pmid
370,s2cid
371,doi
372,pmc
373,pmid
374,wayback machine
375,world health organization
376,wayback machine
377,doi
378,s2cid
379,cite web
380,link
381,darby saxbe
382,isbn
383,978-0143127741
384,isbn
385,978-0143127741
386,isbn
387,978-0143127741
388,"gottzén, l."
389,routledge
390,isbn
391,9781000217995
392,doi
393,hdl
394,doi
395,doi
396,pmc
397,pmid
398,doi
399,pmc
400,pmid
401,wayback machine
402,wayback machine
403,wayback machine
404,wayback machine
405,doi
406,pmid
407,doi
408,pmid
409,s2cid
410,doi
411,issn
412,isbn
413,978-0810128026
414,doi
415,issn
416,s2cid
417,doi
418,pmc
419,pmid
420,doi
421,pmc
422,pmid
423,doi
424,pmc
425,pmid
426,wayback machine
427,wayback machine
428,galtung johan
429,doi
430,s2cid
431,doi
432,s2cid
433,doi
434,doi
435,doi
436,s2cid
437,doi
438,pmid
439,donnerstein edward
440,psychological science in the public interest
441,doi
442,hdl
443,pmid
444,review of general psychology
445,citeseerx
446,doi
447,s2cid
448,doi
449,pmid
450,doi
451,pmc
452,pmid
453,doi
454,pmid
455,s2cid
456,doi
457,pmc
458,pmid
459,pmc
460,pmid
461,doi
462,pmid
463,doi
464,pmc
465,pmid
466,doi
467,s2cid
468,isbn
469,978-0-335-21583-6
470,page needed
471,doi
472,pmid
473,doi
474,pmc
475,pmid
476,doi
477,eissn
478,issn
479,lccn
480,oclc
481,pmid
482,s2cid
483,doi
484,pmid
485,s2cid
486,doi
487,pmid
488,doi
489,pmid
490,s2cid
491,permanent dead link
492,wayback machine
493,doi
494,pmid
495,s2cid
496,doi
497,pmc
498,pmid
499,doi
500,pmid
501,doi
502,doi
503,pmid
504,s2cid
505,doi
506,pmc
507,pmid
508,doi
509,pmc
510,pmid
511,doi
512,pmid
513,s2cid
514,doi
515,pmid
516,s2cid
517,doi
518,pmid
519,s2cid
520,doi
521,pmid
522,s2cid
523,doi
524,pmid
525,doi
526,pmid
527,doi
528,pmc
529,pmid
530,doi
531,s2cid
532,doi
533,pmid
534,s2cid
535,wayback machine
536,doi
537,pmid
538,wayback machine
539,doi
540,pmid
541,s2cid
542,doi
543,hdl
544,pmid
545,s2cid
546,wayback machine
547,wayback machine
548,doi
549,issn
550,pmc
551,pmid
552,wayback machine
553,wayback machine
554,wayback machine
555,isbn
556,978-0226311265
557,doi
558,pmc
559,pmid
560,isbn
561,978-0199859009
562,asia times online
563,wayback machine
564,steven pinker
565,isbn
566,978-0670022953
567,ctheory
568,isbn
569,978-0631192220
570,doi
571,pmid
572,cite journal
573,link
574,cite journal
575,help
576,wayback machine
577,richard clarke
578,michael scheuer
579,robert fisk
580,wayback machine
581,doi
582,s2cid
583,wayback machine
584,doi
585,issn
586,doi
587,issn
588,s2cid
589,isbn
590,978-0802198853
591,doi
592,s2cid
593,isbn
594,0472113151
595,isbn
596,052160785x
597,"james, paul"
598,isbn
599,978-0521731690
600,isbn
601,978-5484010011
602,world health organization
603,centers for disease control and prevention
604,american psychological association
605,wayback machine
606,secretary-general of the united nations
607,wayback machine
608,unicef
609,authority control databases
610,categories
611,violence
612,social conflict
613,concepts in ethics
614,crimes
615,dispute resolution
616,human behavior
617,harassment and bullying
618,controversies
619,webarchive template wayback links
620,cs1 maint: archived copy as title
621,webarchive template other archives
622,wikipedia articles needing page number citations from may 2013
623,all articles with dead external links
624,articles with dead external links from october 2023
625,articles with permanently dead external links
626,cs1 maint: multiple names: authors list
627,cs1 errors: missing periodical
628,articles with short description
629,short description is different from wikidata
630,use british english from august 2013
631,all wikipedia articles needing clarification
632,wikipedia articles needing clarification from july 2020
633,articles to be expanded from december 2022
634,all articles to be expanded
635,articles using small message boxes
636,all articles with unsourced statements
637,articles with unsourced statements from december 2023
638,articles with excerpts
639,wikipedia articles with style issues from december 2023
640,all articles with style issues
641,wikipedia articles needing clarification from november 2014
642,pages using div col with small parameter
643,articles containing hebrew-language text
644,commons category link is on wikidata
645,articles with fast identifiers
646,articles with bne identifiers
647,articles with bnf identifiers
648,articles with bnfdata identifiers
649,articles with gnd identifiers
650,articles with j9u identifiers
651,articles with lccn identifiers
652,articles with lnb identifiers
653,articles with ndl identifiers
654,articles with nkc identifiers
655,articles with nara identifiers
656,about wikipedia
657,disclaimers
