,links
349,computer simulations
350,global catastrophic risk
351,human extinction
352,cambridge center for the study of existential risk
353,artificial general intelligence
354,biological warfare
355,nuclear warfare
356,nanotechnology
357,anthropogenic climate change
358,global warming
359,totalitarianism
360,asteroid impacts
361,gamma-ray bursts
362,nick bostrom
363,pandemic
364,bioterrorists
365,arms race
366,mutual assured destruction
367,emerging technologies
368,
369,nanotechnology
370,biotechnology
371,robotics
372,3d printing
373,blockchains
374,artificial intelligence
375,ray kurzweil
376,genetics
377,nanotechnology
378,robotics
379,genetic engineering
380,directed evolution
381,nanotechnology
382,search and rescue
383,bomb disposal
384,firefighting
385,artificial general intelligence
386,computer science
387,universal basic income
388,post-scarcity economy
389,appropriate technology
390,1960s hippie counterculture
391,locally autonomous
392,sustainable
393,decentralized
394,hacker culture
395,technopaganism
396,technological utopianism
397,moral good
398,utopia
399,post-scarcity economics
400,life extension
401,mind uploading
402,cryonics
403,superintelligence
404,transhumanism
405,singularitarianism
406,singularitarians
407,technological singularity
408,ray kurzweil
409,nick bostrom
410,luddite
411,neo-luddism
412,bioconservatism
413,luddism
414,technological unemployment
415,ted kaczynski
416,unabomber manifesto
417,the technological society
418,off-the-grid
419,ecovillage
420,
421,antoine lavoisier
422,science
423,engineering
424,henryk skolimowski
425,causality
426,penicillin
427,basic research
428,serendipity
429,convexity
430,tool use by animals
431,structures built by animals
432,ecosystem engineer
433,
434,walking stick
435,homo
436,chimpanzees
437,crows
438,west african chimpanzees
439,capuchin monkeys
440,boa vista
441,beaver dams
442,science fiction
443,brave new world
444,a clockwork orange
445,nineteen eighty-four
446,isaac asimov
447,minority report
448,total recall
449,gattaca
450,inception
451,cyberpunk
452,william gibson
453,neuromancer
454,blade runner
455,the matrix
456,
457,technology portal
458,bright green environmentalism
459,ecological modernization
460,ecomodernism
461,instrumentation
462,outline of technology
463,productivity-improving technologies
464,raw material
465,resource
466,technogaianism
467,techno-progressivism
468,isbn
469,978-0691037707
470,jstor
471,doi
472,issn
473,isbn
474,978-0226531984
475,a greek-english lexicon
476,oxford university press
477,isbn
478,978-0199102075
479,isbn
480,978-0198611868
481,isbn
482,978-0199213610
483,doi
484,issn
485,jstor
486,s2cid
487,doi
488,isbn
489,978-3319000770
490,constable & robinson
491,isbn
492,978-1841192352
493,doi
494,issn
495,s2cid
496,"stahl, ann b."
497,current anthropology
498,doi
499,jstor
500,s2cid
501,doi
502,issn
503,s2cid
504,isbn
505,978-0199652594
506,oclc
507,bibcode
508,doi
509,issn
510,s2cid
511,"jacobs, zenobia"
512,bibcode
513,doi
514,issn
515,pmc
516,pmid
517,palomar college
518,berkeley
519,university of california press
520,isbn
521,978-0520096622
522,american journal of human genetics
523,doi
524,pmc
525,pmid
526,"harvati, katerina"
527,doi
528,issn
529,pmid
530,s2cid
531,isbn
532,9780306471667
533,doi
534,issn
535,jstor
536,current anthropology
537,doi
538,jstor
539,s2cid
540,the thomson corporation
541,isbn
542,978-0495030393
543,isbn
544,978-0878917044
545,cambridge university press
546,bibcode
547,doi
548,s2cid
549,"hall, harry reginald holland"
550,"chisholm, hugh"
551,encyclopædia britannica
552,"postel, sandra"
553,isbn
554,978-0393319378
555,"crawford, harriet"
556,isbn
557,978-0203096604
558,isbn
559,978-0691058870
560,isbn
561,978-0226452388
562,isbn
563,978-1575060422
564,isbn
565,978-1875368051
566,isbn
567,978-1615307012
568,isbn
569,978-0865162822
570,isbn
571,978-1466552500
572,isbn
573,978-1118014752
574,doi
575,isbn
576,978-1317116530
577,s2cid
578,isbn
579,978-9004113510
580,isbn
581,978-0786490868
582,isbn
583,978-0813347295
584,isbn
585,978-1538105047
586,doi
587,issn
588,isbn
589,978-0745634692
590,"goldin, c."
591,"katz, l. f."
592,isbn
593,978-0674037731
594,doi
595,issn
596,jstor
597,doi
598,issn
599,bibcode
600,doi
601,pmid
602,s2cid
603,doi
604,isbn
605,978-1108835558
606,s2cid
607,doi
608,doi
609,s2cid
610,ssrn
611,initiative on global markets
612,doi
613,hdl
614,issn
615,s2cid
616,"rosenberg, elizabeth"
617,"macauley, molly k."
618,doi
619,isbn
620,978-1444307573
621,oclc
622,isbn
623,978-1317445715
624,oclc
625,isbn
626,978-0262539968
627,isbn
628,978-1405111621
629,isbn
630,978-1134774661
631,isbn
632,978-1783486595
633,citeseerx
634,cambridge university press
635,isbn
636,978-0521112352
637,isbn
638,978-1412823791
639,bibcode
640,doi
641,issn
642,s2cid
643,isbn
644,978-0199606504
645,doi
646,issn
647,s2cid
648,isbn
649,978-1101218884
650,isbn
651,978-0471079354
652,isbn
653,978-3540767282
654,doi
655,issn
656,s2cid
657,isbn
658,978-0815630616
659,"more, m."
660,"vita-more, n."
661,doi
662,isbn
663,978-1118334294
664,doi
665,isbn
666,978-1118334294
667,isbn
668,978-1456815653
669,isbn
670,978-1135522391
671,doi
672,issn
673,s2cid
674,doi
675,issn
676,bibcode
677,doi
678,s2cid
679,doi
680,issn
681,s2cid
682,doi
683,issn
684,jstor
685,s2cid
686,doi
687,issn
688,jstor
689,doi
690,issn
691,oclc
692,isbn
693,978-0049250055
694,doi
695,s2cid
696,isbn
697,978-0521653183
698,doi
699,issn
700,"schnitzer, monika"
701,ssrn
702,bibcode
703,doi
704,isbn
705,978-0226612706
706,s2cid
707,"sagan, carl"
708,"druyan, ann"
709,"leakey, richard"
710,science
711,bibcode
712,doi
713,pmid
714,s2cid
715,isbn
716,978-0521423717
717,primates
718,doi
719,s2cid
720,university of south carolina press
721,isbn
722,978-1570037368
723,bibcode
724,doi
725,issn
726,s2cid
727,doi
728,isbn
729,978-3319484020
730,mit press
731,isbn
732,978-0262015790
733,isbn
734,978-0865717046
735,"kelly, k."
736,what technology wants
737,viking press
738,isbn
739,978-0670022151
740,"kremer, m."
741,quarterly journal of economics
742,doi
743,issn
744,jstor
745,s2cid
746,isbn
747,978-0306471667
748,isbn
749,978-1610391399
750,"mumford, l."
751,isbn
752,978-0226550275
753,isbn
754,978-0316484893
755,mit press
756,isbn
757,978-0262015790
758,"rhodes, r."
759,isbn
760,0-684-86311-1
761,doi
762,issn
763,bibcode
764,doi
765,issn
766,s2cid
767,isbn
768,978-8131806678
769,isbn
770,978-0495570523
771,"tooze, a."
772,the new york review of books
773,issn
774,s2cid
775,wikidata
776,isbn
777,978-1590707180
778,"gribbin, john"
779,scientific american
780,v
781,t
782,e
783,agriculture
784,domestication
785,grafting
786,working animal
787,clothing
788,sewing machine
789,cooking
790,beer
791,bread
792,cheese
793,milling
794,wine
795,food storage
796,pottery
797,sanitation
798,plumbing
799,toilet
800,tool
801,blade
802,hammer
803,plough
804,wedge
805,weapon
806,gun
807,accounting
808,calculation
809,abacus
810,calendar
811,cryptography
812,lock and key
813,money
814,banknote
815,coin
816,musical instrument
817,phonograph
818,toy
819,game
820,video game
821,writing
822,book
823,map
824,printing press
825,typewriter
826,construction
827,aqueduct
828,canal
829,irrigation
830,arch
831,bridge
832,building
833,fortification
834,foundation
835,scaffolding
836,tower
837,dam
838,caisson
839,road
840,tunnel
841,transport
842,aircraft
843,aerostat
844,airplane
845,compass
846,elevator
847,horseback riding
848,stirrup
849,jet engine
850,rocket
851,motor vehicle
852,railroad
853,train
854,scuba set
855,spacecraft
856,satellite
857,space station
858,space suit
859,watercraft
860,sailing
861,ship
862,submarine
863,manufacturing
864,3d printing
865,carpentry
866,casting
867,injection moulding
868,lost-wax casting
869,mass production
870,assembly line
871,interchangeable parts
872,machine tool
873,welding
874,simple machine
875,axle
876,bearing
877,ball bearing
878,belt
879,chain
880,lever
881,catapult
882,crane
883,shadoof
884,linkage
885,cam
886,clutch
887,four-bar linkage
888,piston
889,rack and pinion
890,pendulum
891,screw
892,archimedes' screw
893,propeller
894,spring
895,valve
896,wheel
897,block and tackle
898,flywheel
899,gear
900,potter's wheel
901,pulley
902,wing
903,machinery
904,agricultural machinery
905,appliance
906,dishwasher
907,washing machine
908,engine
909,electric motor
910,internal combustion
911,turbine
912,waterwheel
913,windmill
914,heavy equipment
915,hydraulics
916,cylinder
917,manifold
918,pump
919,mechanism
920,clock
921,differential
922,epicyclic gearing
923,gimbal
924,gyroscope
925,whippletree
926,mems
927,pneumatics
928,compressor
929,jackhammer
930,rivet gun
931,vacuum pump
932,robotics
933,arm
934,leg
935,energy
936,fire
937,charcoal
938,oven
939,energy storage
940,battery
941,geothermal power
942,heat exchanger
943,heat pump
944,nuclear power
945,nuclear weapon
946,oil drilling
947,fracking
948,refrigeration
949,air conditioning
950,refrigerator
951,solar power
952,photovoltaics
953,material
954,cement
955,concrete
956,ceramic
957,brick
958,chipped stone
959,glass
960,masonry
961,metallurgy
962,aluminum
963,bronze
964,ironworking
965,steel
966,nanomaterials
967,paper
968,plastic
969,rammed earth
970,recycling
971,rubber
972,vulcanization
973,textile
974,loom
975,spinning wheel
976,biotechnology
977,birth control
978,blood transfusion
979,dentistry
980,genetic engineering
981,crispr gene editing
982,genetic testing
983,pcr
984,hospital
985,medical imaging
986,medication
987,anesthesia
988,antibiotic
989,prosthesis
990,surgery
991,vaccine
992,chemical
993,detergent
994,soap
995,dye
996,explosive
997,dynamite
998,fireworks
999,gunpowder
1000,tnt
1001,fertilizer
1002,haber process
1003,laboratory glassware
1004,pesticide
1005,pigment
1006,separation
1007,chromatography
1008,distillation
1009,filtration
1010,spectrometer
1011,synthesis
1012,electromagnetism
1013,electromagnet
1014,laser
1015,optical disc
1016,lens
1017,eyeglasses
1018,magnetic storage
1019,microwave oven
1020,mirror
1021,optical fiber
1022,optical instrument
1023,microscope
1024,telescope
1025,particle accelerator
1026,collider
1027,large hadron collider
1028,relativistic heavy ion collider
1029,linear induction accelerator
1030,electrostatic particle accelerator
1031,van de graaff accelerator
1032,cockcroft–walton generator
1033,linear particle accelerator
1034,stanford linear accelerator
1035,circular accelerator
1036,cyclotron
1037,betatron
1038,synchrotron
1039,synchrocyclotron
1040,storage ring
1041,fixed-field alternating gradient accelerator
1042,photography
1043,camera
1044,motion picture
1045,radar
1046,telecommunications
1047,mobile phone
1048,radio
1049,telegraph
1050,telephone
1051,television
1052,electricity
1053,circuit
1054,ac
1055,circuit breaker
1056,dc
1057,electrical grid
1058,fuse
1059,generator
1060,switch
1061,transformer
1062,electric light
1063,fluorescent
1064,incandescent
1065,led
1066,neon
1067,electronics
1068,capacitor
1069,circuit board
1070,resistor
1071,inductor
1072,vacuum tube
1073,lightning rod
1074,multimeter
1075,oscilloscope
1076,semiconductor
1077,diode
1078,integrated circuit
1079,transistor
1080,superconductor
1081,computer
1082,artificial intelligence
1083,hardware
1084,cpu
1085,gpu
1086,modem
1087,motherboard
1088,mouse
1089,ram
1090,router
1091,storage
1092,touchscreen
1093,networking
1094,client–server model
1095,email
1096,internet
1097,peer-to-peer
1098,social media
1099,world wide web
1100,programming language
1101,software
1102,compiler
1103,database
1104,gui
1105,graphics software
1106,operating system
1107,spreadsheet
1108,web browser
1109,word processor
1110,criticism
1111,appropriate technology
1112,low technology
1113,luddite
1114,neo-luddism
1115,precautionary principle
1116,ecotechnology
1117,environmental technology
1118,clean technology
1119,sustainable design
1120,sustainable engineering
1121,government by algorithm
1122,intellectual property
1123,patent
1124,trade secret
1125,persuasive technology
1126,science policy
1127,strategy of technology
1128,technology assessment
1129,technorealism
1130,progressivism
1131,futures studies
1132,technology forecasting
1133,technological utopianism
1134,technocracy movement
1135,technological singularity
1136,transhumanism
1137,studies
1138,diffusion of innovations
1139,technology transfer
1140,history
1141,timeline of historic inventions
1142,philosophy
1143,social construction of technology
1144,technological determinism
1145,technology acceptance model
1146,applied science
1147,agronomy
1148,architecture
1149,construction
1150,engineering
1151,forensics
1152,forestry
1153,logistics
1154,medicine
1155,mining
1156,navigation
1157,surveying
1158,innovation
1159,design
1160,high tech
1161,invention
1162,mature technology
1163,research and development
1164,technological convergence
1165,technology lifecycle
1166,category
1167,outline
1168,
1169,portal
1170,v
1171,t
1172,e
1173,orders of magnitude (length)
1174,megascale engineering
1175,astroengineering
1176,climate engineering
1177,megastructure
1178,planetary engineering
1179,space elevator
1180,terraforming
1181,macro-engineering
1182,atlantropa
1183,bering strait crossing
1184,delta works
1185,great wall of china
1186,panama canal
1187,red sea dam
1188,sahara sea
1189,space habitat
1190,suez canal
1191,microtechnology
1192,microelectromechanical systems
1193,micromachinery
1194,photolithography
1195,nanotechnology
1196,dna nanotechnology
1197,implications
1198,molecular nanotechnology
1199,molecular scale electronics
1200,nanobiotechnology
1201,nanofoundry
1202,nanomaterials
1203,nanoreactor
1204,regulation
1205,wearable generator
1206,wet nanotechnology
1207,picotechnology
1208,exotic atom
1209,particle accelerator
1210,rydberg atom
1211,synthetic element
1212,femtotechnology
1213,femtochemistry
1214,hafnium bomb
1215,limits of computation
1216,mode-locking
1217,nuclear isomer
1218,nucleon
1219,history of technology
1220,timelines of technology
1221,engineering
1222,v
1223,t
1224,e
1225,history of technology
1226,prehistoric technology
1227,neolithic
1228,ancient egypt
1229,mayan
1230,inca
1231,ancient greek
1232,roman
1233,chinese
1234,indian
1235,byzantine
1236,medieval islam
1237,medieval europe
1238,renaissance
1239,ottoman
1240,great divergence
1241,industrial revolution
1242,history of biotechnology
1243,history of communication
1244,history of computing
1245,history of computing hardware
1246,history of electrical engineering
1247,history of materials science
1248,history of measurement
1249,history of medicine
1250,history of nuclear technology
1251,history of transport
1252,v
1253,t
1254,e
1255,science and technology studies
1256,economics
1257,economics of science
1258,economics of scientific knowledge
1259,history
1260,history and philosophy of science
1261,history of science
1262,and technology
1263,history of technology
1264,philosophy
1265,anthropocene
1266,antipositivism
1267,empiricism
1268,fuzzy logic
1269,neo-luddism
1270,philosophy of science
1271,philosophy of social science
1272,philosophy of technology
1273,positivism
1274,postpositivism
1275,religion and science
1276,scientism
1277,social constructivism
1278,social epistemology
1279,transhumanism
1280,sociology
1281,actor–network theory
1282,construction of technology
1283,shaping of technology
1284,sociology of knowledge
1285,scientific
1286,sociology of scientific ignorance
1287,sociology of the history of science
1288,sociotechnology
1289,strong programme
1290,sciencestudies
1291,antiscience
1292,bibliometrics
1293,boundary-work
1294,consilience
1295,criticism of science
1296,demarcation problem
1297,double hermeneutic
1298,logology
1299,mapping controversies
1300,metascience
1301,paradigm shift
1302,black swan events
1303,pseudoscience
1304,psychology of science
1305,citizen
1306,communication
1307,education
1308,normal
1309,neo-colonial
1310,post-normal
1311,rhetoric
1312,wars
1313,community
1314,consensus
1315,controversy
1316,dissent
1317,enterprise
1318,literacy
1319,method
1320,misconduct
1321,priority
1322,skepticism
1323,scientocracy
1324,scientometrics
1325,team science
1326,traditional knowledge
1327,ecological
1328,unity of science
1329,women in science
1330,stem
1331,co-production
1332,cyborg anthropology
1333,design studies
1334,dematerialization
1335,digital anthropology
1336,digital media use and mental health
1337,early adopter
1338,engineering studies
1339,financial technology
1340,hype cycle
1341,innovation
1342,diffusion
1343,disruptive
1344,linear model
1345,system
1346,user
1347,leapfrogging
1348,normalization process theory
1349,media studies
1350,reverse salient
1351,skunkworks project
1352,sociotechnical system
1353,technical change
1354,technocracy
1355,technoscience
1356,feminist
1357,change
1358,convergence
1359,determinism
1360,revolution
1361,transitions
1362,and society
1363,criticism of
1364,dynamics
1365,theories of
1366,transfer
1367,women in engineering
1368,policy
1369,academic freedom
1370,digital divide
1371,evidence-based policy
1372,factor 10
1373,funding of science
1374,horizon scanning
1375,politicization of science
1376,regulation of science
1377,research ethics
1378,right to science
1379,science policy
1380,history of
1381,science of
1382,socio-scientific issues
1383,technology assessment
1384,technology policy
1385,transition management
1386,
1387,science
1388,history of science
1389,technology
1390,category
1391,associations
1392,journals
1393,scholars
1394,authority control databases
1395,categories
1396,technology
1397,technology systems
1398,main topic articles
1399,wikipedia articles incorporating a citation from the 1911 encyclopaedia britannica with wikisource reference
1400,articles with short description
1401,short description is different from wikidata
1402,wikipedia indefinitely move-protected pages
1403,use dmy dates from september 2022
1404,wikipedia pages semi-protected against vandalism
1405,articles containing ancient greek (to 1453)-language text
1406,articles containing greek-language text
1407,instances of lang-el using second unnamed parameter
1408,wikipedia articles needing page number citations from december 2022
1409,all articles with specifically marked weasel-worded phrases
1410,articles with specifically marked weasel-worded phrases from december 2022
1411,articles with bnf identifiers
1412,articles with bnfdata identifiers
1413,articles with gnd identifiers
1414,articles with j9u identifiers
1415,articles with lccn identifiers
1416,articles with lnb identifiers
1417,articles with nkc identifiers
1418,articles with nara identifiers
1419,about wikipedia
1420,disclaimers
